èCém,,,,,êVï˚éÆ,,,
t,i1,i2,i3,,t,i1,i2,i3
,,,,,1.05E+00,2.73E+00,5.27E+00,7.56E+00
,,,,,1.05E+00,2.72E+00,5.25E+00,7.55E+00
,,,,,1.06E+00,2.71E+00,5.24E+00,7.53E+00
,,,,,1.06E+00,2.71E+00,5.23E+00,7.51E+00
,,,,,1.07E+00,2.70E+00,5.21E+00,7.50E+00
,,,,,1.07E+00,2.69E+00,5.20E+00,7.48E+00
,,,,,1.08E+00,2.69E+00,5.19E+00,7.47E+00
,,,,,1.08E+00,2.68E+00,5.18E+00,7.45E+00
,,,,,1.09E+00,2.67E+00,5.17E+00,7.43E+00
,,,,,1.09E+00,2.67E+00,5.16E+00,7.42E+00
,,,,,1.10E+00,2.66E+00,5.14E+00,7.40E+00
,,,,,1.11E+00,2.65E+00,5.13E+00,7.39E+00
,,,,,1.11E+00,2.65E+00,5.12E+00,7.37E+00
,,,,,1.12E+00,2.64E+00,5.11E+00,7.36E+00
,,,,,1.12E+00,2.64E+00,5.10E+00,7.34E+00
,,,,,1.13E+00,2.63E+00,5.09E+00,7.32E+00
,,,,,1.13E+00,2.62E+00,5.08E+00,7.31E+00
,,,,,1.14E+00,2.62E+00,5.07E+00,7.29E+00
,,,,,1.14E+00,2.61E+00,5.05E+00,7.28E+00
,,,,,1.15E+00,2.61E+00,5.04E+00,7.26E+00
,,,,,1.15E+00,2.60E+00,5.03E+00,7.25E+00
,,,,,1.16E+00,2.59E+00,5.02E+00,7.23E+00
,,,,,1.16E+00,2.59E+00,5.01E+00,7.22E+00
,,,,,1.17E+00,2.58E+00,5.00E+00,7.21E+00
,,,,,1.17E+00,2.58E+00,4.99E+00,7.19E+00
,,,,,1.18E+00,2.57E+00,4.98E+00,7.18E+00
,,,,,1.19E+00,2.57E+00,4.97E+00,7.16E+00
,,,,,1.19E+00,2.56E+00,4.96E+00,7.15E+00
,,,,,1.20E+00,2.56E+00,4.95E+00,7.14E+00
,,,,,1.20E+00,2.55E+00,4.94E+00,7.12E+00
,,,,,1.21E+00,2.54E+00,4.93E+00,7.11E+00
,,,,,1.21E+00,2.54E+00,4.92E+00,7.09E+00
,,,,,1.22E+00,2.53E+00,4.91E+00,7.08E+00
,,,,,1.22E+00,2.53E+00,4.90E+00,7.07E+00
,,,,,1.23E+00,2.52E+00,4.89E+00,7.05E+00
,,,,,1.23E+00,2.52E+00,4.88E+00,7.04E+00
,,,,,1.24E+00,2.51E+00,4.87E+00,7.03E+00
,,,,,1.25E+00,2.51E+00,4.86E+00,7.01E+00
,,,,,1.25E+00,2.50E+00,4.85E+00,7.00E+00
,,,,,1.26E+00,2.50E+00,4.84E+00,6.99E+00
,,,,,1.26E+00,2.49E+00,4.83E+00,6.97E+00
,,,,,1.27E+00,2.49E+00,4.82E+00,6.96E+00
,,,,,1.27E+00,2.48E+00,4.81E+00,6.95E+00
,,,,,1.28E+00,2.48E+00,4.80E+00,6.93E+00
,,,,,1.28E+00,2.47E+00,4.79E+00,6.92E+00
,,,,,1.29E+00,2.47E+00,4.78E+00,6.91E+00
,,,,,1.29E+00,2.46E+00,4.77E+00,6.90E+00
,,,,,1.30E+00,2.46E+00,4.76E+00,6.88E+00
,,,,,1.30E+00,2.45E+00,4.76E+00,6.87E+00
,,,,,1.31E+00,2.45E+00,4.75E+00,6.86E+00
,,,,,1.31E+00,2.44E+00,4.74E+00,6.85E+00
,,,,,1.32E+00,2.44E+00,4.73E+00,6.83E+00
,,,,,1.33E+00,2.43E+00,4.72E+00,6.82E+00
,,,,,1.33E+00,2.43E+00,4.71E+00,6.81E+00
,,,,,1.34E+00,2.42E+00,4.70E+00,6.80E+00
,,,,,1.34E+00,2.42E+00,4.69E+00,6.79E+00
,,,,,1.35E+00,2.41E+00,4.68E+00,6.77E+00
,,,,,1.35E+00,2.41E+00,4.68E+00,6.76E+00
,,,,,1.36E+00,2.40E+00,4.67E+00,6.75E+00
,,,,,1.36E+00,2.40E+00,4.66E+00,6.74E+00
,,,,,1.37E+00,2.39E+00,4.65E+00,6.73E+00
,,,,,1.37E+00,2.39E+00,4.64E+00,6.72E+00
,,,,,1.38E+00,2.39E+00,4.63E+00,6.70E+00
,,,,,1.39E+00,2.38E+00,4.63E+00,6.69E+00
,,,,,1.39E+00,2.38E+00,4.62E+00,6.68E+00
,,,,,1.40E+00,2.37E+00,4.61E+00,6.67E+00
,,,,,1.40E+00,2.37E+00,4.60E+00,6.66E+00
,,,,,1.41E+00,2.36E+00,4.59E+00,6.65E+00
,,,,,1.41E+00,2.36E+00,4.58E+00,6.64E+00
,,,,,1.42E+00,2.35E+00,4.58E+00,6.63E+00
,,,,,1.42E+00,2.35E+00,4.57E+00,6.61E+00
,,,,,1.43E+00,2.35E+00,4.56E+00,6.60E+00
,,,,,1.43E+00,2.34E+00,4.55E+00,6.59E+00
,,,,,1.44E+00,2.34E+00,4.54E+00,6.58E+00
,,,,,1.44E+00,2.33E+00,4.54E+00,6.57E+00
,,,,,1.45E+00,2.33E+00,4.53E+00,6.56E+00
,,,,,1.45E+00,2.33E+00,4.52E+00,6.55E+00
,,,,,1.46E+00,2.32E+00,4.51E+00,6.54E+00
,,,,,1.46E+00,2.32E+00,4.51E+00,6.53E+00
,,,,,1.47E+00,2.31E+00,4.50E+00,6.52E+00
,,,,,1.47E+00,2.31E+00,4.49E+00,6.51E+00
,,,,,1.48E+00,2.30E+00,4.48E+00,6.50E+00
,,,,,1.49E+00,2.30E+00,4.47E+00,6.49E+00
,,,,,1.49E+00,2.30E+00,4.47E+00,6.48E+00
,,,,,1.50E+00,2.29E+00,4.46E+00,6.47E+00
,,,,,1.50E+00,2.29E+00,4.45E+00,6.46E+00
,,,,,1.51E+00,2.28E+00,4.44E+00,6.44E+00
,,,,,1.51E+00,2.28E+00,4.44E+00,6.43E+00
,,,,,1.52E+00,2.28E+00,4.43E+00,6.42E+00
,,,,,1.52E+00,2.27E+00,4.42E+00,6.41E+00
,,,,,1.53E+00,2.27E+00,4.41E+00,6.40E+00
,,,,,1.53E+00,2.27E+00,4.41E+00,6.39E+00
,,,,,1.54E+00,2.26E+00,4.40E+00,6.38E+00
,,,,,1.55E+00,2.26E+00,4.39E+00,6.37E+00
,,,,,1.55E+00,2.25E+00,4.39E+00,6.36E+00
,,,,,1.56E+00,2.25E+00,4.38E+00,6.36E+00
,,,,,1.56E+00,2.25E+00,4.37E+00,6.35E+00
,,,,,1.57E+00,2.24E+00,4.37E+00,6.34E+00
,,,,,1.57E+00,2.24E+00,4.36E+00,6.33E+00
,,,,,1.58E+00,2.23E+00,4.35E+00,6.32E+00
,,,,,1.58E+00,2.23E+00,4.34E+00,6.31E+00
,,,,,1.59E+00,2.23E+00,4.34E+00,6.30E+00
,,,,,1.59E+00,2.22E+00,4.33E+00,6.29E+00
,,,,,1.60E+00,2.22E+00,4.32E+00,6.28E+00
,,,,,1.61E+00,2.22E+00,4.32E+00,6.27E+00
,,,,,1.61E+00,2.21E+00,4.31E+00,6.26E+00
,,,,,1.62E+00,2.21E+00,4.30E+00,6.25E+00
,,,,,1.62E+00,2.21E+00,4.30E+00,6.24E+00
,,,,,1.63E+00,2.20E+00,4.29E+00,6.23E+00
,,,,,1.63E+00,2.20E+00,4.28E+00,6.22E+00
,,,,,1.64E+00,2.20E+00,4.28E+00,6.21E+00
,,,,,1.65E+00,2.19E+00,4.27E+00,6.20E+00
,,,,,1.65E+00,2.19E+00,4.26E+00,6.19E+00
,,,,,1.66E+00,2.18E+00,4.26E+00,6.18E+00
,,,,,1.66E+00,2.18E+00,4.25E+00,6.18E+00
,,,,,1.67E+00,2.18E+00,4.24E+00,6.17E+00
,,,,,1.67E+00,2.17E+00,4.24E+00,6.16E+00
,,,,,1.68E+00,2.17E+00,4.23E+00,6.15E+00
,,,,,1.68E+00,2.17E+00,4.22E+00,6.14E+00
,,,,,1.69E+00,2.16E+00,4.22E+00,6.13E+00
,,,,,1.70E+00,2.16E+00,4.21E+00,6.12E+00
,,,,,1.70E+00,2.16E+00,4.21E+00,6.11E+00
,,,,,1.71E+00,2.15E+00,4.20E+00,6.11E+00
,,,,,1.71E+00,2.15E+00,4.19E+00,6.10E+00
,,,,,1.72E+00,2.15E+00,4.19E+00,6.09E+00
,,,,,1.72E+00,2.14E+00,4.18E+00,6.08E+00
,,,,,1.73E+00,2.14E+00,4.17E+00,6.07E+00
,,,,,1.73E+00,2.14E+00,4.17E+00,6.06E+00
,,,,,1.74E+00,2.13E+00,4.16E+00,6.05E+00
,,,,,1.75E+00,2.13E+00,4.16E+00,6.05E+00
,,,,,1.75E+00,2.13E+00,4.15E+00,6.04E+00
,,,,,1.76E+00,2.13E+00,4.14E+00,6.03E+00
,,,,,1.76E+00,2.12E+00,4.14E+00,6.02E+00
,,,,,1.77E+00,2.12E+00,4.13E+00,6.01E+00
,,,,,1.77E+00,2.12E+00,4.13E+00,6.00E+00
,,,,,1.78E+00,2.11E+00,4.12E+00,6.00E+00
,,,,,1.78E+00,2.11E+00,4.12E+00,5.99E+00
,,,,,1.79E+00,2.11E+00,4.11E+00,5.98E+00
,,,,,1.79E+00,2.10E+00,4.10E+00,5.97E+00
,,,,,1.80E+00,2.10E+00,4.10E+00,5.96E+00
,,,,,1.80E+00,2.10E+00,4.09E+00,5.96E+00
,,,,,1.81E+00,2.09E+00,4.09E+00,5.95E+00
,,,,,1.81E+00,2.09E+00,4.08E+00,5.94E+00
,,,,,1.82E+00,2.09E+00,4.07E+00,5.93E+00
,,,,,1.83E+00,2.08E+00,4.07E+00,5.92E+00
,,,,,1.83E+00,2.08E+00,4.06E+00,5.92E+00
,,,,,1.84E+00,2.08E+00,4.06E+00,5.91E+00
,,,,,1.84E+00,2.08E+00,4.05E+00,5.90E+00
,,,,,1.85E+00,2.07E+00,4.05E+00,5.89E+00
,,,,,1.85E+00,2.07E+00,4.04E+00,5.88E+00
,,,,,1.86E+00,2.07E+00,4.04E+00,5.88E+00
,,,,,1.86E+00,2.06E+00,4.03E+00,5.87E+00
,,,,,1.87E+00,2.06E+00,4.02E+00,5.86E+00
,,,,,1.87E+00,2.06E+00,4.02E+00,5.85E+00
,,,,,1.88E+00,2.06E+00,4.01E+00,5.85E+00
,,,,,1.89E+00,2.05E+00,4.01E+00,5.84E+00
,,,,,1.89E+00,2.05E+00,4.00E+00,5.83E+00
,,,,,1.90E+00,2.05E+00,4.00E+00,5.82E+00
,,,,,1.90E+00,2.04E+00,3.99E+00,5.82E+00
,,,,,1.91E+00,2.04E+00,3.99E+00,5.81E+00
,,,,,1.91E+00,2.04E+00,3.98E+00,5.80E+00
,,,,,1.92E+00,2.04E+00,3.98E+00,5.79E+00
,,,,,1.92E+00,2.03E+00,3.97E+00,5.79E+00
,,,,,1.93E+00,2.03E+00,3.97E+00,5.78E+00
,,,,,1.93E+00,2.03E+00,3.96E+00,5.77E+00
,,,,,1.94E+00,2.02E+00,3.96E+00,5.76E+00
,,,,,1.95E+00,2.02E+00,3.95E+00,5.76E+00
,,,,,1.95E+00,2.02E+00,3.94E+00,5.75E+00
,,,,,1.96E+00,2.02E+00,3.94E+00,5.74E+00
,,,,,1.96E+00,2.01E+00,3.93E+00,5.74E+00
,,,,,1.97E+00,2.01E+00,3.93E+00,5.73E+00
,,,,,1.97E+00,2.01E+00,3.92E+00,5.72E+00
